순번,성별,장애유형,사업장명,수료상태,인턴기간,전환여부
130,여,정신장애,사단법인누리복지회사업부,조기수료,2020-08-18~2020-11-17,Y
131,여,지체장애,금조실업,중도탈락,2020-08-18~2020-11-17,N
132,여,지체장애,사단법인 제주해녀문화연구원,조기수료,2020-08-18~2020-12-17,Y
133,남,자폐성장애,한선트레이딩(주),조기수료,2020-08-18~2020-12-17,Y
134,여,뇌병변장애,(주)알파홀딩스 서울지점,수료,2020-08-18~2020-11-17,N
135,여,지체장애,(주)원익머트리얼즈,수료,2020-08-18~2020-11-17,Y
136,남,정신장애,사단법인누리복지회사업부,조기수료,2020-08-18~2020-11-17,Y
137,여,정신장애,사단법인누리복지회사업부,조기수료,2020-08-18~2020-11-17,Y
138,여,지체장애,떡이야,수료,2020-08-17~2020-11-16,Y
139,남,청각장애,정우산기(주),수료,2020-08-17~2020-11-16,Y
140,남,시각장애,떡이야,수료,2020-08-17~2020-11-16,Y
141,여,뇌병변장애,떡이야,중도탈락,2020-08-17~2020-11-16,N
142,여,시각장애,에스웰요양병원,수료,2020-08-15~2020-10-14,Y
143,여,지체장애,크린필터 주식회사,중도탈락,2020-08-14~2020-12-13,N
144,여,지체장애,크린필터 주식회사,조기수료,2020-08-14~2020-12-13,Y
145,남,정신장애,주식회사 어랑미가,중도탈락,2020-08-13~2020-11-12,N
146,남,지적장애,의료법인 빛고을의료재단,수료,2020-08-12~2020-10-11,Y
147,여,신장장애,(주)엘림테크,수료,2020-08-11~2020-10-10,N
148,여,지체장애,서귀포시장애인단체연합회(모거리카페),조기수료,2020-08-10~2020-12-09,Y
149,남,지체장애,주식회사 행복누리,수료,2020-08-10~2020-12-09,Y
150,남,지체장애,주식회사 행복누리,수료,2020-08-10~2020-12-09,Y
151,여,호흡기장애,(주)예쎈,수료,2020-08-10~2020-09-09,Y
152,여,청각장애,주식회사 미래로,조기수료,2020-08-10~2020-11-09,Y
153,남,청각장애,우성진공기술(주),조기수료,2020-08-10~2021-02-09,Y
154,남,정신장애,떡이야,중도탈락,2020-08-10~2020-11-09,N
155,남,정신장애,박주언 힐링문화원,수료,2020-08-06~2020-11-05,Y
156,여,지체장애,굿파트너스 주식회사,수료,2020-08-05~2020-09-04,Y
157,여,지체장애,굿파트너스 주식회사,수료,2020-08-05~2020-09-04,Y
158,여,청각장애,주식회사 그린누리,중도탈락,2020-08-04~2020-12-03,N
159,남,청각장애,주식회사 어랑미가,수료,2020-08-04~2020-11-03,Y
160,남,정신장애,주식회사 랑진글로벌,중도탈락,2020-08-03~2020-11-02,N
161,남,자폐성장애,주식회사 랑진글로벌,중도탈락,2020-08-03~2020-11-02,N
162,남,지체장애,한국교통장애인협회완주군지회,수료,2020-08-03~2020-10-31,Y
163,남,정신장애,주식회사 랑진글로벌,중도탈락,2020-08-03~2020-11-02,N
164,여,정신장애,주식회사 홍익덕원,수료,2020-08-01~2020-11-30,Y
165,남,자폐성장애,대원인쇄주식회사,조기수료,2020-08-01~2020-11-30,Y
166,여,시각장애,신창요양병원,수료,2020-08-01~2020-10-31,Y
167,남,정신장애,대원인쇄주식회사,조기수료,2020-08-01~2020-11-30,Y
168,남,정신장애,대원인쇄주식회사,조기수료,2020-08-01~2020-11-30,Y
169,남,지체장애,대원인쇄주식회사,조기수료,2020-08-01~2020-11-30,Y
170,남,자폐성장애,뮤직에스엔에스 영상제작,조기수료,2020-08-01~2020-12-31,Y
171,남,국가유공,유라의료재단온누리병원,수료,2020-08-01~2020-11-30,Y
172,남,시각장애,황금안마원,조기수료,2020-08-01~2020-11-30,Y
173,남,정신장애,건강누리의료기,수료,2020-08-01~2020-11-30,Y
174,남,정신장애,대원인쇄주식회사,조기수료,2020-08-01~2020-11-30,Y
175,여,시각장애,(사)대한안마사협회인천지부,조기수료,2020-08-01~2020-12-31,Y
176,남,정신장애,(주)레드스톤시스템 삼송지점,조기수료,2020-08-01~2020-11-30,Y
177,남,자폐성장애,엘피스,조기수료,2020-08-01~2020-12-31,Y
178,남,정신장애,대원인쇄주식회사,조기수료,2020-08-01~2020-11-30,Y
179,남,국가유공,주식회사 그리니쉬 농업회사법인,수료,2020-07-30~2020-10-29,Y
180,남,시각장애,나은힐링안마센터,조기수료,2020-07-29~2020-10-28,Y
181,남,시각장애,원광효도요양병원,수료,2020-07-27~2020-08-31,Y
182,남,뇌병변장애,크린필터 주식회사,수료,2020-07-27~2020-11-26,Y
183,남,자폐성장애,(주)케이씨환경디자인,조기수료,2020-07-27~2020-12-26,Y
184,남,청각장애,새별알파카,수료,2020-07-27~2020-10-26,Y
185,남,언어장애,(주)아진카인텍,중도탈락,2020-07-27~2020-11-26,N
186,여,지체장애,에스티에이 서울지점,수료,2020-07-20~2020-10-19,Y
187,여,뇌병변장애,좋은제주,조기수료,2020-07-20~2020-12-19,Y
188,남,지체장애,신창요양병원,중도탈락,2020-07-20~2020-10-19,N
189,여,정신장애,민속물산,중도탈락,2020-07-20~2020-10-19,N
190,여,청각장애,에스웰요양병원,중도탈락,2020-07-16~2020-10-15,N
191,남,뇌병변장애,(유)기성,수료,2020-07-15~2020-09-30,Y
192,남,정신장애,(주)엠피서비스,수료,2020-07-15~2020-12-14,Y
193,남,청각장애,(사)한국기능장애인협회(드림장애인작업장),중도탈락,2020-07-14~2020-12-13,N
194,남,정신장애,종로행복일굼터,조기수료,2020-07-14~2020-12-13,Y
195,남,지체장애,이노매니지먼트주식회사,수료,2020-07-13~2020-12-12,N
196,남,지체장애,이노매니지먼트주식회사,조기수료,2020-07-13~2020-12-12,Y
197,여,청각장애,(주)미쓰봉플라워,수료,2020-07-13~2020-10-12,Y
198,남,지체장애,(주)미쓰봉플라워,수료,2020-07-13~2020-10-12,Y
199,남,지체장애,김해서부장애인인권센터,수료,2020-07-13~2020-10-12,Y
200,남,정신장애,포항세명기독병원,조기수료,2020-07-13~2020-12-12,Y
201,남,정신장애,(주)예그리나,중도탈락,2020-07-13~2020-10-12,N
202,남,지체장애,(주)상록골프앤리조트,중도탈락,2020-07-13~2020-11-12,N
203,남,정신장애,(사)대한문화체육교육협회 장애인자립지원단,수료,2020-07-13~2020-12-12,Y
204,남,청각장애,(사)한국기능장애인협회(드림장애인작업장),조기수료,2020-07-13~2020-12-12,Y
205,남,신장장애,(주)엠텍정보,수료,2020-07-13~2020-09-12,Y
206,여,청각장애,(주)미쓰봉플라워,중도탈락,2020-07-13~2020-10-12,N
207,여,뇌병변장애,남산실버복지센타,중도탈락,2020-07-09~2020-12-08,N
208,남,자폐성장애,믿음세탁산업,수료,2020-07-09~2020-12-08,Y
209,남,지체장애,브니엘네이처주식회사,수료,2020-07-07~2020-09-06,Y
210,남,시각장애,(주)태웅메디칼,수료,2020-07-07~2020-12-06,Y
211,남,지체장애,한국방송통신대학교,조기수료,2020-07-06~2021-01-05,Y
212,여,정신장애,(주)서울지오팜,수료,2020-07-06~2020-10-05,Y
213,남,시각장애,한국방송통신대학교,조기수료,2020-07-06~2020-12-05,Y
214,남,지체장애,(주)대진코스탈,중도탈락,2020-07-06~2020-10-05,N
215,남,지체장애,주식회사 화진산업,중도탈락,2020-07-06~2020-11-05,N
216,남,지체장애,(주)다함께,중도탈락,2020-07-06~2020-08-05,N
217,남,장루요루장애,(주)현대프로스,수료,2020-07-03~2020-09-02,Y
218,여,자폐성장애,(주)은성테크노,수료,2020-07-02~2020-08-01,N
219,남,지체장애,주식회사 미래로,수료,2020-07-01~2020-09-30,Y
220,남,지체장애,(사)한국기능장애인협회 천안장애인사업장,조기수료,2020-07-01~2020-11-30,Y
221,여,정신장애,일일디지털인쇄,조기수료,2020-07-01~2020-11-30,Y
222,남,자폐성장애,주식회사 휴먼에이드포스트,조기수료,2020-07-01~2020-10-30,Y
223,남,정신장애,종로행복일굼터,조기수료,2020-07-01~2020-11-30,Y
224,남,지체장애,(사)우리들행복나눔 인쇄사업단,조기수료,2020-07-01~2020-10-01,Y
225,남,정신장애,종로행복일굼터,조기수료,2020-07-01~2020-11-30,Y
226,남,정신장애,(주)브레인MRO,수료,2020-07-01~2020-11-30,Y
227,남,지체장애,HM테크,조기수료,2020-07-01~2020-11-30,Y
228,남,지체장애,주식회사 마이벨로,수료,2020-07-01~2020-09-30,Y
229,남,자폐성장애,일일디지털인쇄,수료,2020-07-01~2020-11-30,N
230,남,청각장애,에스에스모빌리티(주),수료,2020-07-01~2020-11-30,Y
231,남,뇌병변장애,(주)다함께,중도탈락,2020-07-01~2020-07-31,N
232,남,지체장애,천서초등학교,수료,2020-07-01~2020-09-30,Y
233,남,시각장애,안마원의품격,조기수료,2020-07-01~2020-12-31,Y
234,여,지체장애,계문주야간보호센터,수료,2020-07-01~2020-09-30,Y
235,남,시각장애,황금안마원,조기수료,2020-07-01~2020-11-30,Y
236,남,지체장애,삼광산업사,조기수료,2020-07-01~2020-11-30,Y
237,남,지체장애,만세365병원,수료,2020-07-01~2020-09-30,Y
238,남,정신장애,주식회사 홍익덕원,중도탈락,2020-07-01~2020-11-30,N
239,남,지체장애,아임삭,수료,2020-07-01~2020-09-30,Y
240,남,자폐성장애,창의카페,조기수료,2020-07-01~2020-11-30,Y
241,남,지체장애,의료법인 나라의료재단 연제나라요양병원,수료,2020-07-01~2020-09-30,N
242,남,자폐성장애,주식회사 나비소셜컴퍼니,수료,2020-07-01~2020-12-31,Y
243,남,뇌병변장애,HM테크,조기수료,2020-07-01~2020-11-30,Y
244,여,청각장애,주식회사 미래로,중도탈락,2020-07-01~2020-09-30,N
245,남,자폐성장애,주식회사 휴먼에이드포스트,수료,2020-07-01~2020-10-30,Y
246,남,지체장애,에스에스모빌리티(주),수료,2020-07-01~2020-11-30,Y
247,남,자폐성장애,주식회사 휴먼에이드포스트,조기수료,2020-07-01~2020-10-30,Y
248,여,정신장애,주식회사 홍익덕원,수료,2020-07-01~2020-11-30,Y
249,남,자폐성장애,(주)케이디텍,조기수료,2020-07-01~2020-11-30,Y
250,남,시각장애,나은힐링안마센터,중도탈락,2020-07-01~2020-09-30,N
251,남,지체장애,주식회사오넥트,중도탈락,2020-06-29~2020-09-28,N
252,여,시각장애,주식회사 청신,중도탈락,2020-06-29~2020-12-28,N
253,남,정신장애,(주)삼신상사,조기수료,2020-06-22~2020-09-21,Y
254,남,지체장애,주식회사 밝은누리,수료,2020-06-22~2020-09-21,Y
255,남,지체장애,(사)한국기능장애인협회(드림장애인작업장),조기수료,2020-06-22~2020-11-21,Y
256,남,지체장애,주식회사 밝은누리,수료,2020-06-22~2020-09-21,Y
257,남,정신장애,(주)삼신상사,수료,2020-06-22~2020-09-21,N
258,여,청각장애,하이디라오코리아(유),중도탈락,2020-06-22~2020-11-21,N
259,남,정신장애,(주)삼신상사,조기수료,2020-06-22~2020-09-21,Y
260,남,정신장애,(주)삼신상사,수료,2020-06-22~2020-09-21,N
261,남,지적장애,주식회사 강한,수료,2020-06-18~2020-12-17,Y
262,여,지체장애,일광영농조합법인,조기수료,2020-06-17~2020-11-16,Y
263,남,자폐성장애,주식회사 크린산업,수료,2020-06-15~2020-12-14,Y
264,남,지체장애,(주) 엘케이 매니지먼트,수료,2020-06-15~2020-12-14,N
265,남,지체장애,의료법인 인당의료재단 구포부민병원,수료,2020-06-12~2020-12-11,N
266,여,지체장애,월스트리트인스티튜트코리아(주),수료,2020-06-12~2020-12-11,Y
267,남,시각장애,(주)아르펠,수료,2020-06-11~2020-09-10,Y
268,남,지체장애,봉화해성병원,조기수료,2020-06-11~2020-11-10,Y
269,남,지체장애,봉화해성병원,조기수료,2020-06-11~2020-11-10,Y
270,여,지체장애,대영ENC,중도탈락,2020-06-10~2020-12-08,N
271,남,지체장애,의료법인 인당의료재단 구포부민병원,수료,2020-06-10~2020-12-09,N
272,남,정신장애,세지솔로텍,수료,2020-06-10~2020-07-09,Y
273,남,지체장애,(주)크로바케미칼,조기수료,2020-06-10~2020-11-09,Y
274,남,지체장애,의료법인 인당의료재단 구포부민병원,수료,2020-06-10~2020-12-09,N
275,남,시각장애,나은힐링안마센터,조기수료,2020-06-10~2020-09-09,Y
276,남,정신장애,(주) 마음샘,조기수료,2020-06-09~2020-08-08,Y
277,남,지체장애,(주)다함께,수료,2020-06-09~2020-07-08,Y
278,남,지체장애,엘티스(주),중도탈락,2020-06-09~2020-12-08,N
279,여,정신장애,(주) 마음샘,조기수료,2020-06-09~2020-08-08,Y
280,남,뇌병변장애,(주)다함께,수료,2020-06-09~2020-07-08,N
281,여,정신장애,(주) 마음샘,조기수료,2020-06-09~2020-08-08,Y
282,남,정신장애,(주) 마음샘,조기수료,2020-06-09~2020-08-08,Y
283,여,정신장애,(주) 마음샘,조기수료,2020-06-09~2020-08-08,Y
284,남,뇌병변장애,(주)지에스아이,중도탈락,2020-06-08~2020-12-07,N
285,남,지체장애,(주)네오플램,,2020-06-08~2020-12-07,
286,여,청각장애,(사)한국기능장애인협회(드림장애인작업장),조기수료,2020-06-08~2020-12-07,Y
287,남,정신장애,(주)원봉,조기수료,2020-06-08~2020-12-07,Y
288,남,정신장애,와이씨에프엔비(주),수료,2020-06-08~2020-12-07,N
289,여,지체장애,제주DPI,중도탈락,2020-06-08~2020-12-07,N
290,남,신장장애,의료법인 명인의료재단 화홍병원,조기수료,2020-06-08~2020-08-07,Y
291,남,정신장애,주식회사 강한,수료,2020-06-08~2020-12-07,Y
292,남,지체장애,의료법인 명인의료재단 화홍병원,조기수료,2020-06-08~2020-08-07,Y
293,여,정신장애,주식회사 서우리테일 전주효자점,수료,2020-06-08~2020-07-31,Y
294,여,지체장애,주식회사 강한,수료,2020-06-08~2020-12-07,Y
295,남,뇌병변장애,(주)원봉,조기수료,2020-06-08~2020-12-07,Y
296,남,지체장애,의료법인한우리의료재단 한우리요양병원,조기수료,2020-06-08~2020-12-07,Y
297,남,뇌병변장애,(주)이정푸드,중도탈락,2020-06-03~2020-12-02,N
298,남,지체장애,(주)지앤비시스템,중도탈락,2020-06-03~2020-07-02,N
299,여,지체장애,(주)오네스토펫푸드,중도탈락,2020-06-03~2020-07-02,N
300,남,신장장애,나누리가구사업단(사단법인한국장애인고용창출협회),조기수료,2020-06-02~2020-12-01,Y
301,남,지체장애,안동톱밥산업,조기수료,2020-06-01~2020-11-30,Y
302,여,뇌병변장애,남양조명공업(주),수료,2020-06-01~2020-07-31,Y
303,여,신장장애,떡이야,수료,2020-06-01~2020-08-31,Y
304,남,시각장애,더 바디 테라피,조기수료,2020-06-01~2020-11-30,Y
305,남,지체장애,(주)크로바케미칼,조기수료,2020-06-01~2020-11-30,Y
306,여,신장장애,남양조명공업(주),수료,2020-06-01~2020-07-31,Y
307,남,자폐성장애,(주)동원에프앤비 강진공장,수료,2020-06-01~2020-08-31,Y
308,남,지체장애,심정병원,조기수료,2020-06-01~2020-11-30,Y
309,여,정신장애,(주)제니엘플러스,조기수료,2020-06-01~2020-11-30,Y
310,남,자폐성장애,오씨아이드림 주식회사,중도탈락,2020-06-01~2020-08-31,N
311,남,청각장애,(사)한국기능장애인협회(드림장애인작업장),조기수료,2020-06-01~2020-11-30,Y
312,남,정신장애,아미정신건강센터,조기수료,2020-06-01~2020-11-30,Y
313,여,청각장애,심정병원,조기수료,2020-06-01~2020-11-30,Y
314,여,시각장애,오토플러스(주),조기수료,2020-06-01~2020-11-30,Y
315,여,정신장애,떡이야,중도탈락,2020-06-01~2020-08-31,N
316,남,정신장애,컴넷하우스,조기수료,2020-06-01~2020-11-30,Y
317,남,시각장애,주식회사 현대피엠에스,수료,2020-06-01~2020-11-30,Y
318,남,청각장애,에스에스모빌리티(주),조기수료,2020-06-01~2020-11-30,Y
319,여,지체장애,(주)케이디텍,중도탈락,2020-06-01~2020-11-30,N
320,남,지체장애,안동톱밥산업,조기수료,2020-06-01~2020-11-30,Y
321,남,뇌병변장애,(주)유신,조기수료,2020-06-01~2020-11-30,Y
322,남,지체장애,에스에스모빌리티(주),중도탈락,2020-06-01~2020-11-30,N
323,남,시각장애,(주)세리화장품,중도탈락,2020-06-01~2020-08-31,N
324,남,지체장애,주식회사 한양기업,중도탈락,2020-06-01~2020-08-30,N
325,남,정신장애,떡이야,수료,2020-06-01~2020-08-31,Y
326,여,정신장애,떡이야,수료,2020-06-01~2020-08-31,N
327,남,자폐성장애,(주)제니엘플러스,조기수료,2020-06-01~2020-11-30,Y
328,남,지체장애,한샘어패럴,중도탈락,2020-06-01~2020-11-30,N
329,여,시각장애,(주)유신,조기수료,2020-06-01~2020-11-30,Y
330,여,시각장애,오토플러스(주),조기수료,2020-06-01~2020-11-30,Y
331,남,신장장애,에스에스모빌리티(주),조기수료,2020-06-01~2020-11-30,Y
332,남,지체장애,남양조명공업(주),수료,2020-06-01~2020-07-31,N
333,여,정신장애,한선트레이딩(주),중도탈락,2020-06-01~2020-11-30,N
334,남,정신장애,스마일,수료,2020-06-01~2020-07-31,N
335,남,정신장애,(주)하랑커뮤니티,수료,2020-06-01~2020-11-30,Y
336,남,뇌병변장애,(주)불스원 음성공장,수료,2020-05-27~2020-06-26,Y
337,남,자폐성장애,(주)칸투칸,수료,2020-05-27~2020-11-26,N
338,여,지체장애,주식회사 그린누리,중도탈락,2020-05-27~2020-11-26,N
339,남,자폐성장애,(주)크레온유니티,수료,2020-05-26~2020-11-25,Y
